entity,value,synonyms
DepartmentName1,감염,감염내과
DepartmentName1,갑상선분비,갑상선내분비외과
DepartmentName1,분비,내분비내과
DepartmentName1,대장항문,대장항문외과
DepartmentName1,류마티스,류마티스내과
DepartmentName1,병리,병리과
DepartmentName1,비뇨의학,비뇨의학과
DepartmentName1,산부인,산부인과
DepartmentName1,성형,성형외과
DepartmentName1,소화기,소화기내과
DepartmentName1,신경,신경과
DepartmentName1,신경,신경외과
DepartmentName1,신장,신장내과
DepartmentName1,알레르기,알레르기내과
DepartmentName1,유방,유방외과
DepartmentName1,위장관,위장관외과
DepartmentName1,정신건강의학,정신건강의학과
DepartmentName1,정형,정형외과
DepartmentName1,중환자상,중환자외상외과
DepartmentName1,피부,피부과
DepartmentName1,핵의학,핵의학과
DepartmentName1,혈액,혈액내과
DepartmentName1,호흡기,호흡기내과
DepartmentName1,흉부,흉부외과
DepartmentName1,재활의학,재활의학과
DepartmentName1,심장,심장내과
DepartmentName1,심장혈관,심장혈관외과
DepartmentName1,안,안과
DepartmentName1,이비인후,이비인후과
DepartmentName,감염내과,감염내과
DepartmentName,갑상선내분비외과,갑상선내분비외과
DepartmentName,내분비내과,내분비내과
DepartmentName,대장항문외과,대장항문외과
DepartmentName,류마티스내과,류마티스내과
DepartmentName,병리과,병리과
DepartmentName,비뇨의학과,비뇨의학과
DepartmentName,산부인과,산부인과
DepartmentName,성형외과,성형외과
DepartmentName,소화기내과,소화기내과
DepartmentName,신경과,신경과
DepartmentName,신경외과,신경외과
DepartmentName,신장내과,신장내과
DepartmentName,알레르기내과,알레르기내과
DepartmentName,유방외과,유방외과
DepartmentName,위장관외과,위장관외과
DepartmentName,정신건강의학과,정신건강의학과
DepartmentName,정형외과,정형외과
DepartmentName,중환자외상외과,중환자외상외과
DepartmentName,피부과,피부과
DepartmentName,핵의학과,핵의학과
DepartmentName,혈액내과,혈액내과
DepartmentName,호흡기내과,호흡기내과
DepartmentName,흉부외과,흉부외과
DepartmentName,재활의학과,재활의학과
DepartmentName,심장내과,심장내과
DepartmentName,심장혈관외과,심장혈관외과
DepartmentName,안과,안과
DepartmentName,이비인후과,이비인후과
StartService,병원 예약,병원 예약할래요
StartService,약 검색,약 정보
StartService,FAQ,
AccountType,저축계좌,저축
AccountType,예금계좌,예금
AccountType,credit card,card:카드:신용카드
